Team,Conference Division
Alabama,SEC West
Arkansas,SEC West
Auburn,SEC West
Florida,SEC East
Georgia,SEC East
Kentucky,SEC East
LSU,SEC West
Mississippi St.,SEC West
Missouri,SEC East
Ole Miss,SEC West
South Carolina,SEC East
Tennessee,SEC East
Texas A&M,SEC West
Vanderbilt,SEC East
