Team,Conference Division
Illinois,Big Ten West
Iowa,Big Ten West
Indiana,Big Ten East
Michigan,Big Ten East
Michigan St.,Big Ten East
Minnesota,Big Ten West
Ohio St.,Big Ten East
Nebraska,Big Ten West
Northwestern,Big Ten West
Penn St.,Big Ten East
Purdue,Big Ten West
Wisconsin,Big Ten West
Maryland,Big Ten East
Rutgers,Big Ten East
